"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
16.580000000000002,3.0612265558687486E-4
16.628,3.0679279644372555E-4
16.676000000000002,3.0679279644372555E-4
16.724,3.074564472567895E-4
16.772000000000002,3.074564472567895E-4
16.82,3.08113840870399E-4
16.868000000000002,3.08113840870399E-4
16.916,3.087650063596807E-4
16.964000000000002,3.087650063596807E-4
17.012,3.0941017663977326E-4
17.06,3.0941017663977326E-4
17.107999999999997,3.100493807144674E-4
17.156,3.100493807144674E-4
17.204,3.106828805445218E-4
17.252,3.106828805445218E-4
17.299999999999997,3.106828805445218E-4
17.348,3.113106761355819E-4
17.396,3.113106761355819E-4
17.444,3.1193300032382237E-4
17.491999999999997,3.1193300032382237E-4
17.54,3.1254991129459536E-4
17.588,3.1254991129459536E-4
17.636,3.1316155454427666E-4
17.683999999999997,3.1316155454427666E-4
17.732,3.1376804652387885E-4
17.78,3.1376804652387885E-4
17.828,3.1436950361052383E-4
17.875999999999998,3.1436950361052383E-4
17.924,3.1496595492909186E-4
17.972,3.1496595492909186E-4
18.02,3.1555786613474466E-4
18.067999999999998,3.1555786613474466E-4
18.116,3.1614360740973114E-4
18.164,3.1614360740973114E-4
18.212,3.167301930487193E-4
18.259999999999998,3.167301930487193E-4
18.308,3.172819702523194E-4
18.356,3.172819702523194E-4
18.404,3.179037728395496E-4
18.451999999999998,3.179037728395496E-4
18.5,3.179037728395496E-4
